Day,Time,Room Number
Su,02:00 PM-03:20 PM,UB21913
Tu,02:00 PM-03:20 PM,UB21913
Su,02:00 PM-03:20 PM,UB21913
Tu,02:00 PM-03:20 PM,UB21913
Mo,03:30 PM-04:50 PM,UB20802
We,03:30 PM-04:50 PM,UB20802
Su,02:00 PM-03:20 PM,UB20702
Tu,02:00 PM-03:20 PM,UB20702
Sa,09:30 AM-10:50 AM,UB20702
Th,09:30 AM-10:50 AM,UB20702
Mo,02:00 PM-03:20 PM,UB20801
We,02:00 PM-03:20 PM,UB20801
Mo,05:00 PM-06:20 PM,UB20802
We,05:00 PM-06:20 PM,UB20802
Sa,11:00 AM-12:20 PM,UB20702
Th,11:00 AM-12:20 PM,UB20702
Mo,03:30 PM-04:50 PM,UB20501
We,03:30 PM-04:50 PM,UB20501
Su,03:30 PM-04:50 PM,UB20203
Tu,03:30 PM-04:50 PM,UB20203
Mo,05:00 PM-06:20 PM,UB20803
We,05:00 PM-06:20 PM,UB20803
Mo,11:00 AM-12:20 PM,UB20804
We,11:00 AM-12:20 PM,UB20804
Mo,02:00 PM-03:20 PM,UB20802
We,02:00 PM-03:20 PM,UB20802
Su,05:00 PM-06:20 PM,UB20802
Tu,05:00 PM-06:20 PM,UB20802
Sa,02:00 PM-03:20 PM,UB20203
Th,02:00 PM-03:20 PM,UB20203
Mo,02:00 PM-03:20 PM,UB20803
We,02:00 PM-03:20 PM,UB20803
Su,03:30 PM-04:50 PM,UB20702
Tu,03:30 PM-04:50 PM,UB20702
Sa,09:30 AM-10:50 AM,UB20801
Th,09:30 AM-10:50 AM,UB20801
Mo,12:30 PM-01:50 PM,UB20701
We,12:30 PM-01:50 PM,UB20701
Mo,10:05 AM-11:00 AM,UB100204
Sa,10:05 AM-11:00 AM,UB100202
Su,09:30 AM-10:50 AM,UB40602
Tu,09:30 AM-10:50 AM,UB40602
Su,03:30 PM-04:50 PM,UB40602
Tu,03:30 PM-04:50 PM,UB40602
Su,08:00 AM-09:20 AM,UB30103
Tu,08:00 AM-09:20 AM,UB30103
Mo,09:30 AM-10:50 AM,UB70802
We,09:30 AM-10:50 AM,UB70802
Mo,11:00 AM-12:20 PM,UB70802
We,11:00 AM-12:20 PM,UB70802
Su,08:00 AM-09:20 AM,UB70802
Tu,08:00 AM-09:20 AM,UB70802
Mo,08:00 AM-09:20 AM,UB40602
We,08:00 AM-09:20 AM,UB40602
Mo,02:00 PM-03:20 PM,UB41404
We,02:00 PM-03:20 PM,UB41404
Su,08:00 AM-09:20 AM,UB30203
Tu,08:00 AM-09:20 AM,UB30203
Su,11:00 AM-12:20 PM,UB41404
Tu,11:00 AM-12:20 PM,UB41404
Mo,03:05 PM-04:00 PM,UB100202
We,03:05 PM-04:00 PM,UB100202
Mo,04:10 PM-05:05 PM,UB100202
We,04:10 PM-05:05 PM,UB100203
Su,11:00 AM-12:20 PM,UB30203
Tu,11:00 AM-12:20 PM,UB30203
Mo,02:00 PM-03:20 PM,UB70802
We,02:00 PM-03:20 PM,UB70802
Mo,03:30 PM-04:50 PM,UB70802
We,03:30 PM-04:50 PM,UB70802
Mo,12:30 PM-01:50 PM,UB40602
We,12:30 PM-01:50 PM,UB40602
Su,12:30 PM-01:50 PM,UB30203
Tu,12:30 PM-01:50 PM,UB30203
Fr,06:00 PM-09:00 PM,UB21511
Fr,06:00 PM-09:00 PM,UB21511
Su,09:00 AM-12:05 PM,UB100202
Th,09:00 AM-12:05 PM,UB100202
Tu,09:00 AM-12:05 PM,UB100202
Su,09:00 AM-12:05 PM,UB100203
Th,09:00 AM-12:05 PM,UB100203
Tu,09:00 AM-12:05 PM,UB100203
Mo,09:00 AM-12:05 PM,UB100202
We,09:00 AM-12:05 PM,UB100202
Mo,09:00 AM-12:05 PM,UB100203
Mo,02:00 PM-05:05 PM,UB100202
Mo,05:00 PM-06:00 PM,UB100202
Mo,06:00 PM-08:40 PM,UB100202
Mo,12:15 PM-01:10 PM,UB100202
We,12:15 PM-01:10 PM,UB100202
Mo,02:00 PM-02:55 PM,UB100204
We,02:00 PM-02:55 PM,UB100204
Su,12:15 PM-01:10 PM,UB100202
Tu,12:15 PM-01:10 PM,UB100202
Su,12:15 PM-01:10 PM,UB100203
Tu,12:15 PM-01:10 PM,UB100203
Su,09:00 AM-12:05 PM,UB100204
Th,09:00 AM-12:05 PM,UB100204
